,Symbol
39808,18095242.SW
31286,18095246.SW
40497,18095281.SW
36444,18095282.SW
35121,18095310.SW
37524,18095311.SW
39230,18095315.SW
38327,18095315.SW
16653,18102990.BE
33056,1810647.IR
15281,18108136.IR
38826,18126717.IR
37821,18126717.IR
16744,18139274.BE
17341,181450.KS
17258,181480.KS
36254,18168969.SW
39584,1819290.SW
38676,1819290.SW
43617,18209377.SW
17229,182480.KS
17336,182490.KS
35327,1830392.SW
22887,18313597.SW
22907,18313599.SW
8982,18313602.SW
22931,18313604.SW
19087,18313605.SW
19476,18313606.SW
10001,1831729.SG
37254,1833165.IR
30081,18337.AX
41075,18350319.SW
34096,1835850.IR
10793,183700.KS
10002,183710.KS
37833,18406710.IR
38833,18406710.IR
23104,18430501.SW
23291,18430895.SW
30544,18433776.SW
32543,1851466.SW
41339,18519756.SW
41322,18548960.IR
34184,18553385.SW
33139,18553502.IR
17386,185680.KS
21543,18575459.IR
13607,18575472.IR
21691,18575508.IR
14591,18575515.IR
13915,18575566.IR
31587,18610855.SW
35790,1873377.IR
41600,1873377.SW
36805,18766265.IR
39641,1879601.MC
31243,1881532.IR
42275,18823124.MC
31113,1885315.IR
29030,18877137.SW
35407,18877162.IR
30402,18879517.IR
8397,189400.KS
31818,18944363.IR
28587,18969729.SW
35045,18992390.SW
40251,18995526.SW
8885,18M0.DE
27167,18M0.F
8027,18M0.SG
23710,18M1.DE
23539,18M1.F
14234,18M1.SG
14003,18M2.BE
15994,18M2.DE
14244,18M2.DU
15972,18M2.F
8024,18M2.HM
7648,18M2.MU
8764,18M2.SG
8385,18M3.DE
23589,18M3.DU
8950,18M3.F
23530,18M3.HM
7865,18M3.SG
8595,18M4.DE
23677,18M4.DU
23544,18M4.F
23748,18M4.SG
23659,18M5.DE
23669,18M5.DU
9110,18M5.F
23673,18M5.SG
8758,18M6.DE
15209,18M6.DU
7647,18M6.F
15987,18M6.HM
15261,18M6.SG
14238,18M7.DE
8847,18M7.DU
8871,18M7.F
15845,18M7.MU
15299,18M7.SG
14037,18M8.DE
23715,18M8.DU
23584,18M8.F
14077,18M8.SG
28172,18MB.BE
9115,18MB.DE
27125,18MB.DU
7666,18MB.F
27242,18MB.MU
27139,18MB.SG
23574,18MD.BE
23663,18MD.DE
23691,18MD.DU
23741,18MD.F
7646,18MD.MU
7645,18MD.SG
8955,18MF.BE
7953,18MF.DE
23679,18MF.DU
23737,18MF.F
7779,18MF.HM
8224,18MF.MU
14142,18MF.SG
23747,18MG.BE
7662,18MG.DE
8556,18MG.DU
11866,18MG.F
23646,18MG.HM
23696,18MG.MU
23543,18MG.SG
14153,18MH.DE
26748,18MH.DU
26733,18MH.F
26745,18MH.SG
28217,18MI.BE
7874,18MI.DE
8263,18MI.F
26907,18MI.MU
26921,18MI.SG
7644,18MJ.BE
23703,18MJ.DE
14975,18MJ.DU
7917,18MJ.F
8244,18MJ.HM
23641,18MJ.MU
9004,18MJ.SG
23700,18MK.BE
23727,18MK.DE
23523,18MK.DU
8538,18MK.F
23572,18MK.HM
7737,18MK.MU
14089,18MK.SG
17001,18ML.DE
7758,18ML.DU
17160,18ML.F
16481,18ML.MU
8274,18ML.SG
17099,18MM.BE
16635,18MM.DE
8674,18MM.F
8261,18MM.HM
14164,18MM.SG
23592,18MN.DE
14204,18MN.DU
7643,18MN.F
28219,18MN.HM
8790,18MN.MU
7642,18MN.SG
21899,18MP.BE
8416,18MP.DE
21927,18MP.DU
21923,18MP.F
